date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:26:38	111/111	---M-Z	200	added ('OK')	text/plain	date:Fri,%2026%20Mar%202021%2004:27:34%20GMT	https://profitcoin.ltd/robots.txt		(from )
05:26:41	255045/255045	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2004:27:36%20GMT	https://profitcoin.ltd/	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/index.html	(from )
05:26:41	693/693	---M-Z	200	added ('OK')	text/css	etag:%222b5-5f885c6c-3ce1e659155ef295;gz%22	https://profitcoin.ltd/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.5.3	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/wp-content/plugins/gtranslate/gtranslate-style245697.css	(from https://profitcoin.ltd/)
05:26:41	24621/24621	---M-Z	200	added ('OK')	text/css	etag:%22602d-60475f30-be692b8e38f9c813;gz%22	https://profitcoin.ltd/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min.css?ver=8.17.1	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/wp-content/plugins/user-registration/assets/css/sweetalert2/sweetalert2.min782a.css	(from https://profitcoin.ltd/)
05:26:42	38081/38081	---M-Z	200	added ('OK')	text/css	etag:%2294c1-60475f2f-2d2849fb1eb40a5;gz%22	https://profitcoin.ltd/wp-content/plugins/user-registration/assets/css/user-registration.css?ver=1.9.4.1	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/wp-content/plugins/user-registration/assets/css/user-registration5f00.css	(from https://profitcoin.ltd/)
05:26:42	732/732	---M-Z	200	added ('OK')	text/css	etag:%222dc-60475f30-279b05ee8b356362;gz%22	https://profitcoin.ltd/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen.css?ver=1.9.4.1	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/wp-content/plugins/user-registration/assets/css/user-registration-smallscreen5f00.css	(from https://profitcoin.ltd/)
05:26:42	1069/1069	---M-Z	200	added ('OK')	application/rss+xml	etag:%22177bebf446f800aad3059db0aa854f24%22	https://profitcoin.ltd/feed/	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/feed/index.html	(from https://profitcoin.ltd/)
05:26:42	3427/3427	---M-Z	200	added ('OK')	text/css	etag:%22d63-60475f2f-4ffefc16d406b311;gz%22	https://profitcoin.ltd/wp-content/plugins/user-registration/assets/css/my-account-layout.css?ver=1.9.4.1	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/wp-content/plugins/user-registration/assets/css/my-account-layout5f00.css	(from https://profitcoin.ltd/)
05:26:42	59009/59009	---M-Z	200	added ('OK')	text/css	etag:%22e681-5f701a70-4281e08f4741183c;gz%22	https://profitcoin.ltd/wp-includes/css/dashicons.min.css?ver=5.5.3	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/wp-includes/css/dashicons.min5697.css	(from https://profitcoin.ltd/)
05:26:43	53907/53907	---M-Z	200	added ('OK')	text/css	etag:%22d293-5f701a70-9c111790c9ce6edf;gz%22	https://profitcoin.ltd/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	C:/My%20Web%20Sites/Tjeel/profitcoin.ltd/wp-includes/css/dist/block-library/style.min5697.css	(from https://profitcoin.ltd/)
